2025-07-30 23:13:38 | INFO | src.sync.backup_manager:_ensure_folders_exist:75 | Pastas de backup verificadas: C:\Users\haneg\AppData\Local\Temp\tmpwzftf8wg\BACKUP
2025-07-30 23:13:38 | INFO | src.sync.backup_manager:_ensure_folders_exist:75 | Pastas de backup verificadas: C:\Users\haneg\AppData\Local\Temp\tmpqk__f3wd\BACKUP
2025-07-30 23:13:38 | INFO | src.sync.backup_manager:create_backup:93 | Nenhuma planilha mestre encontrada para backup
2025-07-30 23:13:38 | INFO | src.sync.backup_manager:_ensure_folders_exist:75 | Pastas de backup verificadas: C:\Users\haneg\AppData\Local\Temp\tmp8voxzb6y\BACKUP
2025-07-30 23:13:38 | INFO | src.sync.backup_manager:create_backup:100 | Iniciando backup: C:\Users\haneg\AppData\Local\Temp\tmp8voxzb6y\MESTRE\planilha_consolidada.xlsx -> C:\Users\haneg\AppData\Local\Temp\tmp8voxzb6y\BACKUP\2025-07-30_23-13-38_planilha_consolidada.xlsx
2025-07-30 23:13:38 | DEBUG | src.sync.backup_manager:_validate_backup_integrity:186 | Backup validado como planilha Excel válida
2025-07-30 23:13:38 | DEBUG | src.sync.backup_manager:_validate_backup_integrity:196 | Checksums coincidem - backup íntegro
2025-07-30 23:13:38 | INFO | src.sync.backup_manager:create_backup:107 | Backup criado com sucesso: C:\Users\haneg\AppData\Local\Temp\tmp8voxzb6y\BACKUP\2025-07-30_23-13-38_planilha_consolidada.xlsx
2025-07-30 23:13:38 | DEBUG | src.sync.backup_manager:_cleanup_old_backups:254 | Nenhum backup antigo para remover
2025-07-30 23:13:38 | INFO | src.sync.backup_manager:_ensure_folders_exist:75 | Pastas de backup verificadas: C:\Users\haneg\AppData\Local\Temp\tmpcyfie35h\BACKUP
2025-07-30 23:13:38 | INFO | src.sync.backup_manager:_ensure_folders_exist:75 | Pastas de backup verificadas: C:\Users\haneg\AppData\Local\Temp\tmpkqxzbuu1\BACKUP
2025-07-30 23:13:38 | DEBUG | src.sync.backup_manager:_validate_backup_integrity:186 | Backup validado como planilha Excel válida
2025-07-30 23:13:38 | DEBUG | src.sync.backup_manager:_validate_backup_integrity:196 | Checksums coincidem - backup íntegro
2025-07-30 23:13:38 | INFO | src.sync.backup_manager:_ensure_folders_exist:75 | Pastas de backup verificadas: C:\Users\haneg\AppData\Local\Temp\tmp8j88wtbc\BACKUP
2025-07-30 23:13:38 | WARNING | src.sync.backup_manager:_validate_backup_integrity:180 | Diferença significativa no tamanho: 99.63%
2025-07-30 23:13:38 | ERROR | src.sync.backup_manager:_validate_backup_integrity:203 | Erro na validação de integridade: File is not a zip file
2025-07-30 23:13:38 | INFO | src.sync.backup_manager:_ensure_folders_exist:75 | Pastas de backup verificadas: C:\Users\haneg\AppData\Local\Temp\tmpwi3il9w_\BACKUP
2025-07-30 23:13:38 | INFO | src.sync.backup_manager:_ensure_folders_exist:75 | Pastas de backup verificadas: C:\Users\haneg\AppData\Local\Temp\tmpkmj0y8cw\BACKUP
2025-07-30 23:13:38 | DEBUG | src.sync.backup_manager:_cleanup_old_backups:245 | Backup antigo removido: 2025-07-28_23-13-38_planilha_consolidada.xlsx
2025-07-30 23:13:38 | INFO | src.sync.backup_manager:_cleanup_old_backups:252 | Limpeza concluída: 1 backups antigos removidos
2025-07-30 23:13:38 | INFO | src.sync.backup_manager:_ensure_folders_exist:75 | Pastas de backup verificadas: C:\Users\haneg\AppData\Local\Temp\tmpin8t2gt3\BACKUP
2025-07-30 23:13:38 | INFO | src.sync.backup_manager:_ensure_folders_exist:75 | Pastas de backup verificadas: C:\Users\haneg\AppData\Local\Temp\tmpx89gl378\BACKUP
